max_features,n300,n400,n500
25,0.8317299314591078,0.8316972583643123,0.833122531366171
50,0.8274664556226765,0.8279260571561338,0.8265828299256506
75,0.8335922978624536,0.8324429309944238,0.827154246050186
100,0.8275063894052045,0.8266910141728625,0.8299329112453532
125,0.8330484723513011,0.8274069179832714,0.8307141612453531
150,0.8314155436802975,0.8246943250464684,0.832217123605948
