index,wd_subclass,wdsubclass1,y_actual,y_pred_proba
FLUX604302106,DA,1,1,0.84
FLUX604311061,DA,1,1,0.96
FLUX613405109,DA,1,1,0.10666666666666667
FLUX613410220,DA,1,1,0.7466666666666667
FLUX615101126,DA,1,1,0.9666666666666667
FLUX616414212,DA,1,1,0.9666666666666667
FLUX616511103,DA,1,1,0.6066666666666667
FLUX616713176,DA,1,1,0.8533333333333334
FLUX617505124,DA,1,1,0.9866666666666667
FLUX617807093,DA,1,1,0.98
FLUX618206068,DA,1,1,0.9666666666666667
FLUX620207093,DA,1,1,0.9666666666666667
FLUX620213111,DA,1,1,0.31333333333333335
FLUX627311151,DA,1,1,0.5266666666666666
FLUX627314046,DA,1,1,0.86
FLUX628708182,DA,1,1,0.96
FLUX629110027,DA,1,1,0.9733333333333334
FLUX629910027,DA,1,1,0.9933333333333333
FLUX630116153,DA,1,1,0.9533333333333334
FLUX630410128,DA,1,1,0.88
FLUX630805242,DA,1,1,0.9933333333333333
FLUX630812118,DA,1,1,1.0
FLUX631016122,DA,1,1,0.9933333333333333
FLUX632701184,DA,1,1,0.8466666666666667
FLUX644811215,DA,1,1,0.8466666666666667
FLUX644814213,DA,1,1,0.9733333333333334
FLUX646009009,DA,1,1,0.9933333333333333
FLUX646206004,DA,1,1,0.9133333333333333
FLUX646707046,DA,1,1,0.9133333333333333
FLUX647410027,DA,1,1,1.0
FLUX655710027,DA,1,1,0.9866666666666667
FLUX656207057,DA,1,1,0.9066666666666666
FLUX657013168,DA,1,1,0.9
FLUX660612181,DA,1,1,0.7466666666666667
FLUX660910107,DA,1,1,1.0
FLUX661801104,DA,1,1,0.98
FLUX663715062,DA,1,1,0.9133333333333333
FLUX678207104,DA,1,1,0.9733333333333334
FLUX678407202,DA,1,1,0.9533333333333334
FLUX678415020,DA,1,1,0.8333333333333334
FLUX678608208,DA,1,1,0.9733333333333334
FLUX678701201,DA,1,1,0.49333333333333335
FLUX679308095,DA,1,1,0.94
FLUX680412153,DA,1,1,0.9933333333333333
FLUX680414046,DA,1,1,0.82
FLUX680503235,DA,1,1,0.98
FLUX685806114,DA,1,1,0.36666666666666664
FLUX685904122,DA,1,1,0.3333333333333333
FLUX686806080,DA,1,1,0.08
FLUX687616080,DA,1,1,0.9533333333333334
FLUX688814034,DA,1,1,0.9266666666666666
FLUX688914237,DA,1,1,0.84
FLUX689016105,DA,1,1,0.9666666666666667
FLUX689415116,DA,1,1,0.86
FLUX689504161,DA,1,1,0.86
FLUX689508123,DA,1,1,0.7666666666666667
FLUX689714158,DA,1,1,0.92
FLUX699907091,DA,1,1,0.9533333333333334
FLUX700411130,DA,1,1,0.9266666666666666
FLUX700412083,DA,1,1,0.9533333333333334
FLUX709209052,DA,1,1,0.7266666666666667
FLUX709909086,DA,1,1,0.4266666666666667
FLUX709913066,DA,1,1,0.5666666666666667
FLUX711514077,DA,1,1,0.6066666666666667
FLUX711602043,DA,1,1,0.8733333333333333
FLUX712413228,DA,1,1,0.8866666666666667
FLUX712916010,DA,1,1,0.2733333333333333
FLUX713010007,DA,1,1,0.88
FLUX713815003,DA,1,1,1.0
FLUX713904096,DA,1,1,0.86
FLUX721815003,DA,1,1,0.9466666666666667
FLUX722906063,DA,1,1,0.4
FLUX732503211,DA,1,1,0.9866666666666667
FLUX732803066,DA,1,1,0.9866666666666667
FLUX734815062,DA,1,1,0.9133333333333333
FLUX734913099,DA,1,1,0.9266666666666666
FLUX739510216,DA,1,1,0.9866666666666667
FLUX741215186,DA,1,1,0.74
FLUX742804052,DA,1,1,0.8466666666666667
FLUX743009149,DA,1,1,0.7733333333333333
FLUX743615051,DA,1,1,0.8733333333333333
FLUX744013092,DA,1,1,0.37333333333333335
FLUX744908088,DA,1,1,0.7533333333333333
FLUX756707178,DA,1,1,0.4
FLUX756811173,DA,1,1,0.9066666666666666
FLUX757115029,DA,1,1,0.84
FLUX757308092,DA,1,1,0.5266666666666666
FLUX759603222,DA,1,1,0.9466666666666667
FLUX767503048,DA,1,1,0.96
FLUX768916249,DA,1,1,0.8933333333333333
FLUX779213036,DA,1,1,0.8933333333333333
FLUX779515132,DA,1,1,0.9133333333333333
FLUX779605216,DA,1,1,0.7
FLUX780405171,DA,1,1,0.9133333333333333
FLUX780416247,DA,1,1,0.9266666666666666
FLUX781102029,DA,1,1,0.41333333333333333
FLUX781311118,DA,1,1,0.98
FLUX795203046,DA,1,1,0.6
FLUX796607169,DA,1,1,0.9466666666666667
FLUX805102176,DA,1,1,0.9533333333333334
FLUX805115183,DA,1,1,0.98
FLUX812015183,DA,1,1,0.96
FLUX814911184,DA,1,1,1.0
FLUX815007109,DA,1,1,0.46
FLUX821314172,DA,1,1,0.7533333333333333
FLUX823501009,DA,1,1,0.9266666666666666
FLUX210043,DAZ,0,0,0.28
FLUX815241,DAZ,0,0,0.47333333333333333
FLUX3101097,DAZ,0,0,0.38
FLUX3101111,DAZ,0,0,0.10666666666666667
FLUX3109236,DAZ,0,0,0.1
FLUX3110003,DAZ,0,0,0.02
FLUX3113201,DAZ,0,0,0.24666666666666667
FLUX3212098,DAZ,0,0,0.14
FLUX4104158,DAZ,0,0,0.14
FLUX4501147,DAZ,0,0,0.04666666666666667
FLUX4603055,DAZ,0,0,0.3333333333333333
FLUX4604166,DAZ,0,0,0.14666666666666667
FLUX4607176,DAZ,0,0,0.18666666666666668
FLUX4908032,DAZ,0,0,0.14666666666666667
FLUX5006043,DAZ,0,0,0.12666666666666668
FLUX5212150,DAZ,0,0,0.4266666666666667
FLUX5213231,DAZ,0,0,0.04
FLUX5304192,DAZ,0,0,0.7133333333333334
FLUX8202103,DAZ,0,0,0.28
FLUX8207016,DAZ,0,0,0.16
FLUX11211227,DAZ,0,0,0.08
FLUX14410048,DAZ,0,0,0.14
FLUX14506060,DAZ,0,0,0.06
FLUX14509134,DAZ,0,0,0.58
FLUX15502024,DAZ,0,0,0.1
FLUX16115149,DAZ,0,0,0.12
FLUX19906242,DAZ,0,0,0.26666666666666666
FLUX25815176,DAZ,0,0,0.06666666666666667
FLUX26901099,DAZ,0,0,0.12
FLUX28116249,DAZ,0,0,0.1
FLUX28706006,DAZ,0,0,0.21333333333333335
FLUX29607002,DAZ,0,0,0.30666666666666664
FLUX37101181,DAZ,0,0,0.32
FLUX37607051,DAZ,0,0,0.7933333333333333
FLUX39304130,DAZ,0,0,0.12666666666666668
FLUX40110130,DAZ,0,0,0.14
FLUX42410247,DAZ,0,0,0.7533333333333333
FLUX43403234,DAZ,0,0,0.26666666666666666
FLUX43805230,DAZ,0,0,0.19333333333333333
FLUX46713030,DAZ,0,0,0.9733333333333334
FLUX46801078,DAZ,0,0,0.28
FLUX52403007,DAZ,0,0,0.32
FLUX59013112,DAZ,0,0,0.04666666666666667
FLUX59310241,DAZ,0,0,0.42
FLUX60613095,DAZ,0,0,0.6333333333333333
FLUX61116118,DAZ,0,0,0.20666666666666667
FLUX62606083,DAZ,0,0,0.16
FLUX62613225,DAZ,0,0,0.16666666666666666
FLUX67502091,DAZ,0,0,0.12
FLUX67614121,DAZ,0,0,0.36
FLUX68505104,DAZ,0,0,0.14666666666666667
FLUX74614085,DAZ,0,0,0.4066666666666667
FLUX77504034,DAZ,0,0,0.5066666666666667
FLUX77704031,DAZ,0,0,0.5066666666666667
FLUX94302220,DAZ,0,0,0.07333333333333333
FLUX99106092,DAZ,0,0,0.20666666666666667
FLUX100103199,DAZ,0,0,0.12
FLUX101312085,DAZ,0,0,0.5533333333333333
FLUX102316062,DAZ,0,0,0.26666666666666666
FLUX107312122,DAZ,0,0,0.13333333333333333
FLUX107914216,DAZ,0,0,0.22
