source_id,mh_gspphot,mh_gspphot_upper,mh_gspphot_lower
249921127592893824,0.173,0.1809,0.1656
249597630660463104,-0.9908,-0.9775,-0.9973
249597630660463104,-0.9908,-0.9775,-0.9973
250094644276114816,0.0348,0.0517,0.0139
443762965990465920,0.0012,0.0032,0.0002
443762965990465920,0.0012,0.0032,0.0002
270670973598716032,-0.607,-0.5865,-0.6203
2808670223719757312,-0.2535,-0.2426,-0.2784
408362501208573184,-0.4893,-0.4878,-0.4899
504429894444111744,-0.3814,-0.3513,-0.4109
456158031150485120,-0.4276,-0.4209,-0.4338
456251803174829056,-0.7222,-0.4635,-0.7989
408436791261346304,-0.3407,-0.3101,-0.3653
408501177112050560,0.0501,0.0626,0.0351
456822243555584256,-0.5437,-0.3342,-0.6314
456973838721898752,0.0702,0.097,0.0482
409441195135132672,0.1411,0.1577,0.0329
3262517841635204608,-0.4859,-0.4176,-0.5421
441995432329279232,-0.6434,-0.5607,-0.6603
442755538461108736,0.001,0.0026,0.0002
3396691383014277632,-0.5584,-0.1189,-0.7269
3399408860361843840,-0.4321,-0.4251,-0.4381
3400946248198487040,-0.5688,-0.552,-0.5794
239505694463734400,-0.1498,-0.1392,-0.1607
255809699557964672,-0.554,-0.5138,-0.5971
254972696332114944,-0.1851,-0.0953,-0.2911
256027677738509056,-0.3996,-0.056,-0.5302
260523580784961152,-0.5609,-0.4561,-0.5875
3442479681462756352,-0.1868,-0.1773,-0.2161
3429480155486301440,-0.6515,-0.6388,-0.6645
248687441191749888,-0.28,-0.2742,-0.2864
249856153332327680,-0.2809,-0.2666,-0.2907
249921127592893824,0.173,0.1809,0.1656
249921127592893824,0.173,0.1809,0.1656
251390693608393216,-0.7297,-0.7288,-0.7312
249597630660463104,-0.9908,-0.9775,-0.9973
249597630660463104,-0.9908,-0.9775,-0.9973
250459132380264448,-0.2851,-0.2759,-0.2932
251579843967952256,-0.4012,-0.4001,-0.4025
443762965990465920,0.0012,0.0032,0.0002
443762965990465920,0.0012,0.0032,0.0002
443731148872856448,-0.4421,-0.4259,-0.4573
273927520880405888,-0.1813,-0.1625,-0.2021
273937897521473280,-0.1729,-0.1596,-0.1888
273530768980971008,-0.5328,-0.5073,-0.552
3409332433837566848,-0.4271,-0.41,-0.4433
3340249602869689984,-1.0855,-0.7821,-1.1663
3339936310774916736,-0.6296,-0.6007,-0.6522
3428469914757069056,-0.2134,-0.1656,-0.2477
3428766439298968960,-0.3462,-0.3412,-0.353
366264228203949696,-0.2825,-0.2684,-0.3038
417563386310193408,-0.3607,-0.3492,-0.3695
424074217433153792,0.2805,0.2824,0.2783
425810621172549504,0.0009,0.0248,-0.0369
425911153463366400,0.1101,0.1322,0.0856
239165911010096512,0.0739,0.099,0.0536
243032068774824576,-0.0003,0.0116,-0.0112
436135516384426112,-0.1641,-0.1491,-0.1687
271574875235602176,-0.3992,-0.3847,-0.4166
258765835349270400,0.0054,0.0139,0.0011
446913272961761792,-0.1092,-0.098,-0.1225
447649361636827648,0.2948,0.2988,0.2864
3319517039815487488,-0.299,-0.2905,-0.3113
3398414107280163840,-0.0204,0.0448,-0.1
3399123811973088896,-0.5578,-0.5423,-0.5734
3399461705639054592,-0.707,-0.6339,-0.7588
3402738555229853696,-0.5267,-0.4914,-0.5737
3399649344169929216,-0.4477,-0.4404,-0.4552
3399687998877043840,0.1932,0.2012,0.1768
3399656490996755584,-0.5059,-0.4898,-0.5279
3402894857682644224,-0.1859,-0.1677,-0.2029
466595802411806976,-0.5356,-0.4619,-0.6197
491022930691802752,-0.37,-0.3693,-0.3701
468274550507470336,-0.9109,-0.7808,-0.9772
389784366768116352,-0.3436,-0.3127,-0.5035
377737705056539648,0.1307,0.1465,0.1151
2556130171099445760,-0.5213,-0.5092,-0.5297
441302465125775104,-0.1008,-0.0849,-0.1538
446134990527308672,-0.6087,-0.5417,-0.7121
453695404279766144,-0.1511,-0.1497,-0.1523
3415961801758741120,-0.1807,-0.0422,-0.3428
3319706980449461760,-0.355,-0.3481,-0.3613
440737350510599936,-0.1326,-0.1306,-0.1358
451246894962340992,0.3948,0.3974,0.3872
440850359689110784,0.0664,0.1061,0.0378
